HWP Angle,Horizontal,Vertical
0,560,2222
10,2890,1959
20,7390,1530
30,13701,900
40,17198,721
50,17221,625
60,14039,1003
70,8937,2111
80,2528,3535
90,520,3895
100,3306,3716
110,7065,3043
120,13387,1590
130,17024,647
140,23429,785
150,17476,2203
160,9944,2199
170,2994,4900
180,567,8257
