Angle,Detector 1,Detector 4
0,652.2052469,748.0108025
10,747.9722222,692.2777778
20,1222.49537,660.0462963
30,1998.249228,586.507716
40,2505.041538,571.251286
50,2666.340256,560.8752143
60,2315.723376,595.4792024
70,1611.953896,681.2465337
80,967.6589827,743.7077556
90,663.2764971,784.6179593
100,777.3794162,718.7696599
110,1319.396569,690.96161
120,1980.066095,627.326935
130,2656.344349,563.2211558
140,2622.057392,552.0368593
150,2312.176232,587.5061432
160,1698.029372,666.0843572
170,982.8382287,722.5140595
180,686.3063714,775.0856766
