Angle,Detector 1,Detector 3
0,834.8194444,980.4768519
10,1274.636574,987.0794753
20,2004.606096,894.8465792
30,3474.767683,801.8077632
40,4687.46128,756.1346272
50,4958.243547,717.0224379
60,4423.540591,796.837073
70,3117.256765,932.1395122
80,1804.376128,1086.856585
90,989.8960213,1106.642764
100,1176.816004,1045.273794
110,2277.802667,896.3789657
120,3756.300445,822.2298276
130,4914.716741,791.2049713
140,4825.95279,775.8674952
150,4160.492132,787.3112492
160,3036.582022,853.7185415
170,1648.430337,868.6197569
180,937.0717228,901.4366262
