Angle,Power
0,7.19
10,7.41
20,9.12
30,11.5
40,13.34
50,13.95
60,12.95
70,10.8
80,8.53
90,7.19
100,7.4
110,9.15
120,11.75
130,13.9
140,14.7
150,13.7
160,11.38
170,8.77
180,7.24
