Angle,Detector 4,Detector 3
180,972.8333333333334,34914.5
190,2407.138888888889,29702.75
200,4067.1898148148152,15724.791666666666
210,5239.864969135803,4644.465277777777
220,5306.477494855967,2794.744212962963
230,4350.079582475994,10873.790702160493
240,2724.013263745999,24683.96511702675
250,1361.668877291,37245.99418617113
260,724.1114795485,43096.49903102852
270,985.3519132580833,39766.74983850476
280,1833.2253188763473,28492.958306417462
290,2753.204219812724,14505.493051069578
300,3271.3673699687874,4278.748841844929
310,3262.894561661464,2614.458140307488
320,2679.982426943577,10135.576356717915
330,1787.3304044905963,22959.26272611965
340,1031.0550674150993,35235.04378768661
350,668.8425112358499,41267.00729794777
360,849.9737518726416,38383.00121632463
