Angle,Detector 4,Detector 3
0,542.0,18141.666666666668
10,3673.3333333333335,20762.444444444445
20,12854.222222222224,15628.907407407407
22.5,16927.37037037037,12897.484567901236
30,24643.06172839506,7491.080761316873
40,33413.17695473251,2654.513460219479
45,35776.69615912208,1189.0855767032465
50,34951.11602652034,1309.680929450541
60,28735.352671086726,4815.780154908423
67.5,21372.39211184779,9817.963359151405
70,17614.232018641298,12191.660559858568
80,7599.372003106883,17252.110093309762
90,1818.062000517814,19200.351682218294
100,4227.010333419636,17496.225280369716
110,13503.835055569938,12213.037546728287
112.5,17533.139175928325,10063.006257788047
120,25354.18986265472,6047.834376298008
130,32586.36497710912,2121.472396049668
135,34837.72749618485,1035.412066008278
140,34488.45458269747,1153.4020110013796
150,27975.575763782912,3728.4003351668966
157.5,19459.26262729715,6860.733389194483
160,15521.210437882859,8327.455564865748
170,6644.36840631381,12547.575927477626
180,1662.0614010523016,14242.762654579603
