Angle,Detector 4,Detector 3
0,6493.0,17044.333333333332
10,17942.166666666668,14194.22222222222
20,29413.861111111113,6892.5370370370365
22.5,32882.64351851852,4264.08950617284
30,36161.10725308642,1738.0149176954735
40,35375.35120884774,2934.502486282579
45,31496.05853480796,5512.583747713764
50,25447.009755801326,8611.097291285629
60,14097.501625966886,15388.516215214273
67.5,6179.583604327814,21087.086035869044
70,3377.2639340546357,23058.68100597817
80,1605.0439890091059,23582.113500996362
90,7383.507331501518,19263.185583499395
100,18841.917888583586,12423.697597249899
110,29753.319648097266,5531.282932874983
112.5,33222.38660801621,3349.547155479164
120,36050.3977680027,1337.2578592465272
130,33706.066294667115,2117.376309874421
135,29724.344382444517,3983.72938497907
140,24652.057397074084,6443.454897496512
150,13764.009566179013,11608.575816249418
157.5,5890.168261029835,14742.929302708237
160,3287.3613768383057,15878.321550451374
170,1569.3935628063844,17149.053591741893
180,6233.898927134397,14489.675598623648
