Angle,Detector 4,Detector 3
0,665.1666666666666,17112.5
10,3502.861111111111,20060.75
20,12353.976851851852,15503.791666666666
22.5,16304.662808641975,12886.965277777776
30,24139.443801440328,7638.327546296296
40,33053.907300240055,2952.2212577160494
45,35717.48455004001,1393.5368762860082
50,34831.91409167334,1384.0894793810014
60,28927.485681945556,4559.8482465635
67.5,21804.080946990925,9542.474707760584
70,18065.346824498487,11918.079117960098
80,8113.2244707497475,17070.179852993348
90,2019.2040784582914,19244.696642165556
100,3910.8673464097155,17936.78277369426
110,12552.477891068285,12583.130462282375
112.5,16472.579648511382,10423.688410380395
120,24042.263274751895,6321.114735063399
130,31376.710545791982,2332.5191225105664
135,33581.78509096533,1123.2531870850944
140,33460.29751516089,1152.7088645141823
150,27656.716252526818,3463.95147741903
157.5,19491.95270875447,6426.825246236505
160,15768.992118125745,7677.470874372751
170,7107.498686354291,11588.41181239546
180,1845.4164477257152,13338.568635399244
