Angle,Detector 4,Detector 3
0,29262.0,966.8333333333334
10,33480.666666666664,2314.8055555555557
20,26616.777777777777,7785.634259259259
22.5,22796.796296296296,10056.939043209875
30,14432.466049382716,14801.323173868312
40,5181.244341563786,21570.553862311386
45,1765.0407235939645,23238.59231038523
50,1151.1734539323274,22335.93205173087
60,6113.028908988722,18965.32200862181
67.5,14418.504818164787,14904.387001436968
70,18519.91746969413,12644.73116690616
80,29336.98624494902,6203.121861151027
90,35744.331040824836,1959.1869768585045
100,35030.888506804135,2159.031162809751
110,26642.48141780069,6163.838527134959
112.5,22800.246902966785,7986.473087855826
120,14492.541150494464,11803.57884797597
130,5382.756858415744,15530.263141329327
135,2095.459476402624,16747.04385688822
140,1526.4099127337706,16715.340642814703
150,6121.568318788962,14128.890107135783
157.5,12820.428053131494,10351.815017855964
160,16016.404675521917,8661.969169642662
170,24862.56744592032,4582.828194940444
180,30168.927907653386,1598.638032490074
