Angle,Detector 4,Detector 3
0,844.5,37940.0
10,3685.5833333333335,40593.166666666664
20,8293.930555555557,34803.027777777774
22.5,10096.488425925925,32275.671296296296
30,12976.41473765432,27665.11188271605
40,14786.735789609054,24654.851980452677
45,14752.289298268175,24684.808663408778
50,13721.381549711363,26637.634777234798
60,10061.396924951894,33452.105796205804
67.5,6325.232820825316,40057.18429936763
70,4727.87213680422,42799.864049894604
80,1707.47868946737,48248.31067498244
90,1146.9131149112284,49432.385112497075
100,4015.4855191518714,45274.397518749516
110,9171.080919858645,37102.06625312492
112.5,11321.680153309775,33971.67770885415
120,15032.780025551629,28618.946284809022
130,18231.130004258604,24681.15771413484
135,18568.021667376433,24521.859619022474
140,17671.17027789607,26319.143269837077
150,13463.86171298268,32545.190544972847
157.5,8732.97695216378,38912.531757495475
160,6618.6628253606295,41564.755292915914
170,2337.9438042267716,46297.12588215265
180,1308.3239673711287,47120.18764702544
