Angle,Detector 4,Detector 3
0,24456.333333333332,1061.3333333333333
10,25232.55555555555,5430.888888888889
20,21173.425925925923,13129.481481481482
22.5,19547.570987654322,16206.580246913582
30,16567.428497942386,21388.59670781893
40,14420.57141632373,25254.932784636487
45,14378.261902720622,25463.155464106083
50,15127.043650453437,23767.025910684344
60,18288.67394174224,17387.00431844739
67.5,21592.112323623707,10591.834053074565
70,22940.352053937284,7735.13900884576
80,25889.72534232288,2521.356501474293
90,26690.12089038715,2103.726083579049
100,24572.853481731192,7728.787680596509
110,20438.47558028853,17134.631280099416
112.5,18808.245930048088,20820.938546683235
120,15964.37432167468,26567.656424447207
130,14120.56238694578,30568.276070741198
135,14402.760397824297,30623.212678456865
140,16011.96006630405,28594.202113076142
150,21378.99334438401,21236.03368551269
157.5,27130.99889073067,13577.672280918783
160,29633.499815121777,10228.612046819797
170,35290.916635853624,3737.7686744699663
180,38004.819439308936,1692.628112411661
