Angle,Detector 4,Detector 3
0,15734.5,16728.0
10,21222.416666666668,13719.666666666666
20,22460.40277777778,11705.777777777776
22.5,22363.233796296296,11853.296296296297
30,20330.538966049382,15113.716049382716
40,15824.92316100823,22812.786008230454
45,13085.320526834703,28002.797668038413
50,10793.053421139117,32421.9662780064
60,8230.84223685652,37320.1610463344
67.5,7960.473706142754,37940.02684105573
70,8310.412284357126,37368.83780684262
80,11345.56871405952,31848.63963447377
90,15963.761452343251,23569.60660574563
100,19971.293575390544,16536.26776762427
110,21810.715595898426,14161.711294604045
112.5,21942.11926598307,14323.951882434007
120,20557.85321099718,17947.491980405666
130,16541.30886849953,25749.248663400944
135,13779.718144749922,30737.041443900158
140,11397.453024124989,34924.17357398336
150,8832.575504020831,38835.69559566389
157.5,9171.095917336805,38685.782599277314
160,9877.515986222801,37695.79709987956
170,14769.0859977038,31156.96618331326
180,22022.847666283968,21969.494363885544
