Angle,Detector 4,Detector 3
0,11196.166666666666,23048.833333333332
10,9481.027777777777,32476.138888888887
20,8211.337962962964,35498.523148148146
22.5,8260.556327160493,35696.420524691355
30,9831.092721193416,33088.90342078189
40,13575.015453532236,25924.650570130314
45,16064.33590892204,21143.77509502172
50,18285.22265148701,17012.462515836953
60,20630.537108581168,12396.743752639493
67.5,20685.256184763526,12094.790625439915
70,20369.87603079392,12742.79843757332
80,17415.312671798987,19106.299739595554
90,13032.38544529983,28363.54995659926
100,8776.397574216639,36649.924992766544
110,6869.56626236944,40477.15416546109
112.5,6778.594377061573,40729.525694243515
120,8411.765729510262,38068.420949040585
130,13176.960954918375,30748.403491506764
135,16734.82682581973,25589.233915251127
140,19797.47113763662,21126.038985875188
150,24026.245189606107,15443.506497645865
157.5,25664.374198267684,14228.58441627431
160,25653.06236637795,14534.76406937905
170,23101.677061062994,19116.294011563175
180,18156.44617684383,26437.549001927197
