Angle,Detector 1,Detector 2
0,485,554
10,907,1243
20,511,1606
30,443,2861
40,425,3034
50,467,2571
60,475,3111
70,435,1890
80,472,768
90,566,643
100,459,905
110,475,1955
120,474,2118
130,398,3942
140,436,4147
150,452,3827
160,472,2336
170,452,1178
180,442,574
